,도시,DATE,SO2,CO,O3,NO2,PM10
1188,대구,2015-05-01,0.0033538773666968,0.3594703014677166,0.0426801558597755,0.0195729878776488,49.11321646874124
1189,대구,2015-06-01,0.0030669045213025,0.426233685523125,0.041541328506213,0.0160440393559322,47.23643409956949
1190,대구,2015-07-01,0.0027189152996515,0.3511640010736681,0.0301791133641501,0.0144409932570831,37.77450251792023
1191,대구,2015-08-01,0.0026685549457661,0.3274880234237844,0.0301008768646533,0.017067226096898,39.3642202598569
1192,대구,2015-09-01,0.0022164483483185,0.3095891885998366,0.0249579298719904,0.0180151028629209,33.51504195636394
1193,대구,2015-10-01,0.0026671177791249,0.3856930145985432,0.02306054503469,0.02377828231866,45.52674312658869
1194,대구,2015-11-01,0.0031198107649838,0.4524663128159206,0.0151993912507621,0.0224814066052943,39.09707864165396
1195,대구,2015-12-01,0.0045440203488645,0.6241717084130936,0.0113479436134708,0.0263457955265795,53.71948898282637
1196,대구,2017-01-01,0.0046453962228085,0.5739007465197851,0.0167097851051713,0.0294242177387661,50.35461107038187
1197,대구,2017-02-01,0.0043560771038887,0.4979262832154011,0.0229537756161089,0.0257570688432416,42.659889849602656
1198,대구,2017-03-01,0.0038406045816539,0.5013071131189776,0.0299743329179083,0.0251801449556167,49.59801460576757
1199,대구,2017-04-01,0.0033695295375762,0.4253527040604665,0.0385987576761629,0.0206283871410091,51.11123881168236
1200,대구,2017-05-01,0.0035116101077024,0.4202739128290995,0.042569699954598,0.019454427861283,54.3378821406593
1201,대구,2017-06-01,0.0032931373224701,0.4043151505219345,0.0453533840775212,0.0158747263847142,40.26017002682931
1202,대구,2017-07-01,0.0024992213373921,0.3667120916442575,0.0299324794588339,0.014490852689282,35.52915512944645
1203,대구,2017-08-01,0.0026900454940756,0.3732002774916843,0.0270933350002415,0.0148719511451487,28.36577413609223
1204,대구,2017-09-01,0.0029140416159854,0.4392294033978481,0.0269186741136376,0.0207353480579332,40.08807142901117
1205,대구,2017-10-01,0.0027873194510271,0.4027063664892933,0.020715911314739,0.0206501711247732,37.32116906062576
1206,대구,2017-11-01,0.003767415586602,0.5394502271921147,0.0164449518666211,0.0289718147064225,53.86880191214076
1207,대구,2017-12-01,0.003947727163965,0.5949111153291304,0.0146098688542554,0.0285138153622728,47.99363072256924
1208,대구,2018-01-01,0.0041777658836971,0.6040474042384744,0.0167956814061137,0.027675615624039,48.4712360866829
1209,대구,2018-02-01,0.0043664515217176,0.5592798092194551,0.0225641530537531,0.0263000511281983,50.28227941889609
1210,대구,2018-03-01,0.0033551077186162,0.4603359476188594,0.0280887211992674,0.0229754985376093,45.2822176221345
1211,대구,2018-04-01,0.0029887560227776,0.4004536398432622,0.0351567046843911,0.0185011050454098,56.08870214487174
1212,대구,2018-05-01,0.0023255280398887,0.3537575688773926,0.0389567299269853,0.0146876893523672,41.39227513539111
1213,대구,2018-06-01,0.002252746152424,0.3422284961424303,0.0417362530296748,0.0147903781244504,37.4804623758704
1214,대구,2018-07-01,0.0023176968017279,0.3068542690494683,0.0286297105266084,0.0118107241075824,29.617740544485347
1215,대구,2018-08-01,0.0024488765013641,0.3447756977245552,0.0254225897581471,0.0120606280167272,23.994801437201904
1216,대구,2018-09-01,0.0020463706598467,0.334223590382889,0.0244967754827642,0.0148509183902374,26.04109153177649
1217,대구,2018-10-01,0.0025719286365167,0.4088520011817961,0.0198971582864063,0.0218415420015386,34.419030334176085
1218,대구,2018-11-01,0.0035398271769133,0.5944892780361489,0.0130511071902021,0.032107790160212,56.2901077181226
1219,대구,2018-12-01,0.0039777097789973,0.609633596991755,0.0135041827729708,0.0288750973147118,48.24381627370405
